symbol,kind,execution,hooks,effects_and_ordering,model_passes,required_keys,produced_keys,model_mutation,specialisation,device_batch_gradient,composed_model,same_run,multi_stage
Adapters,hook method,"Runs the model with adapter-defined activation edits","Configured forward or backward reads and writes","Source reads must precede destination writes; adapter return replaces destination activation","1","pipeline inputs/input; adapter configuration","pipeline outputs/model; standalone model outputs and optional context cache","Adapter parameters may be stateful; base weights are not replaced","HookedModuleWithAdapters and HookingContextWithCache","Adapter input/output must match target activation device/shape; backward directions require gradients",supported,unsupported,supported
Pruning,weight method,"Mutates weights on context entry and then runs the model","prune_parameters temporary-state operation","Pruning is applied before execution and original weights are restored on context exit","1 per user call","model inputs; importance_callback inputs from parameters","model outputs","Temporary weight mutation","Shared HookProgram runtime","Importance scores must match parameter device/shape; model batch contract is unchanged; gradients optional",supported,unsupported,untested
TaskVectors,weight method,"Prepares weight vectors; evaluation count is controlled by alpha search callbacks","replace_parameters temporary-state operation","Vectors are applied inside a scoped context; alpha candidates are evaluated in iterable order","0 during prepare; callback-defined and potentially unbounded during alpha selection","finetuned module or vectors supplied through TaskVectorsModule methods","task vectors; forget vectors; candidate weights","Temporary scoped weight mutation","Shared TensorDict state runtime plus TaskVectorsContext and TaskVectorsModule","Vector keys/shapes/devices must match model parameters; both evaluation callbacks must declare their own pass, batch, device, and gradient budgets",supported,unsupported,untested
BilinearProbe,probing support,"Consumes two captured activations inside Probing","None directly","Caches the first activation until its pair arrives; fit mutates estimator state","0","two activations; labels; step_type","estimator and callback state","Estimator state during fit","Used through Probing and BilinearProbeManager","Inputs and estimator device/batch requirements must agree",not-applicable,not-applicable,not-applicable
BilinearProbeManager,probing support,"Builds and owns BilinearProbe instances","None directly","One stable probe per key pair and direction; overwrite_results controls repeated metrics","0","pair configuration; estimator factory; metric callback","estimators; results TensorDict","Manager and estimator state","Used through Probing","Delegates device/batch/gradient requirements to probes and estimators",not-applicable,not-applicable,not-applicable
LinearEstimator,probing support,"Fits or predicts from one captured activation","None","fit updates parameters; predict is read-only","0","one activation tensor; labels for fit","predictions","Estimator parameters during fit","Used through Probe or ProbeManager","Estimator and tensors must be on compatible devices; fit uses gradients internally",not-applicable,not-applicable,not-applicable
LowRankBilinearEstimator,probing support,"Fits or predicts from two captured activations","None","fit updates parameters; predict is read-only","0","two activation tensors; labels for fit","predictions","Estimator parameters during fit","Used through BilinearProbe","Estimator and tensors must be on compatible devices; fit uses gradients internally",not-applicable,not-applicable,not-applicable
MeanDifferenceClassifier,probing support,"Fits or predicts from one NumPy-like activation array","None","fit replaces coefficient and intercept state","0","one activation array; binary labels for fit","predictions or probabilities","Estimator coefficients during fit","Used through Probe or ProbeManager","CPU/NumPy operator; caller controls batch conversion; no autograd",not-applicable,not-applicable,not-applicable
Probe,probing support,"Consumes one captured activation inside Probing","None directly","fit mutates estimator state; predict invokes the metric callback","0","activation; labels; step_type","estimator and callback state","Estimator state during fit","Used through Probing and ProbeManager","Delegates device/batch/gradient requirements to the estimator",not-applicable,not-applicable,not-applicable
ProbeManager,probing support,"Builds and owns Probe instances","None directly","One probe per key and direction; overwrite policy controls repeated runs","0","estimator factory; metric callback","estimators; fit_metrics; predict_metrics","Manager and estimator state","Used through Probing","Delegates device/batch/gradient requirements to probes and estimators",not-applicable,not-applicable,not-applicable
